"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","19 Apr 1999","667.63","688.36","659.57","684.81"
"NIFTY 500","17 Apr 1999","718.90","737.36","663.33","667.77"
"NIFTY 500","16 Apr 1999","668.02","718.94","663.92","718.73"
"NIFTY 500","15 Apr 1999","688.85","688.85","666.09","667.99"
"NIFTY 500","13 Apr 1999","694.29","695.48","685.24","689.01"
"NIFTY 500","12 Apr 1999","694.26","696.87","677.88","694.32"
"NIFTY 500","09 Apr 1999","714.70","715.55","692.39","694.27"
"NIFTY 500","08 Apr 1999","722.42","726.06","711.84","714.70"
"NIFTY 500","07 Apr 1999","716.79","731.19","716.77","722.41"
"NIFTY 500","06 Apr 1999","714.75","718.01","696.10","716.75"
"NIFTY 500","05 Apr 1999","752.50","752.50","713.87","714.77"
"NIFTY 500","01 Apr 1999","758.25","764.19","749.38","752.64"
"NIFTY 500","31 Mar 1999","736.35","762.96","736.27","758.25"
"NIFTY 500","30 Mar 1999","732.68","736.47","722.59","736.35"
"NIFTY 500","26 Mar 1999","746.28","747.83","727.01","732.71"
"NIFTY 500","25 Mar 1999","749.95","753.59","743.84","746.27"
"NIFTY 500","24 Mar 1999","751.93","768.92","739.66","749.95"
"NIFTY 500","23 Mar 1999","749.76","758.25","748.98","751.95"
"NIFTY 500","22 Mar 1999","747.00","751.48","735.89","749.79"
"NIFTY 500","20 Mar 1999","746.41","747.44","741.57","747.00"
"NIFTY 500","19 Mar 1999","755.31","761.67","742.73","746.46"
"NIFTY 500","18 Mar 1999","741.95","755.65","739.89","755.27"
"NIFTY 500","17 Mar 1999","736.85","760.25","736.85","741.94"
"NIFTY 500","16 Mar 1999","746.99","750.91","734.19","736.74"
"NIFTY 500","15 Mar 1999","742.85","754.11","741.67","746.99"
"NIFTY 500","12 Mar 1999","732.19","743.60","731.26","742.91"
"NIFTY 500","11 Mar 1999","747.80","753.17","731.53","732.18"
"NIFTY 500","10 Mar 1999","738.89","757.61","736.94","747.78"
"NIFTY 500","09 Mar 1999","735.01","742.19","734.72","738.71"
"NIFTY 500","08 Mar 1999","728.00","743.08","727.71","735.01"
"NIFTY 500","05 Mar 1999","719.76","731.91","715.63","727.96"
"NIFTY 500","04 Mar 1999","730.40","734.68","712.69","719.76"
"NIFTY 500","03 Mar 1999","707.96","744.48","707.96","730.39"
"NIFTY 500","01 Mar 1999","687.38","708.73","687.38","707.84"
"NIFTY 500","27 Feb 1999","660.74","688.26","656.01","687.40"
"NIFTY 500","26 Feb 1999","668.91","669.87","657.86","660.70"
"NIFTY 500","25 Feb 1999","669.71","674.14","668.22","668.90"
"NIFTY 500","24 Feb 1999","660.83","671.06","660.83","669.70"
"NIFTY 500","23 Feb 1999","665.77","665.77","655.07","660.79"
"NIFTY 500","22 Feb 1999","683.21","684.57","665.25","665.80"
"NIFTY 500","19 Feb 1999","683.08","689.11","682.39","683.20"
"NIFTY 500","18 Feb 1999","681.44","693.74","681.44","683.01"
"NIFTY 500","17 Feb 1999","670.29","685.93","669.03","681.42"
"NIFTY 500","16 Feb 1999","664.54","671.77","663.35","670.26"
"NIFTY 500","15 Feb 1999","674.13","679.85","664.51","664.56"
"NIFTY 500","12 Feb 1999","666.96","675.67","666.96","674.11"
"NIFTY 500","11 Feb 1999","664.25","672.88","664.25","666.94"
"NIFTY 500","10 Feb 1999","642.30","664.29","642.30","664.22"
"NIFTY 500","09 Feb 1999","638.42","644.13","631.70","642.20"
