date,rate,source,is_reference_rate,source_files
1999-12-24,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-27,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-28,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-29,43.5294,RBI_REFERENCE_RATE,True,BankWise.xls
1999-12-30,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-03,43.4802,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-04,43.4991,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-05,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-06,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-07,43.5104,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-10,43.5294,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-11,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-12,43.5294,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-13,43.5294,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-14,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-17,43.5199,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-18,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-19,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-20,43.5597,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-21,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-24,43.6395,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-25,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-27,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-28,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-01-31,43.6395,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-01,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-02,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-03,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-04,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-07,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-08,43.6205,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-09,43.5996,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-10,43.6395,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-11,43.63,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-14,43.6395,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-15,43.6205,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-16,43.5996,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-17,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-18,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-21,43.5996,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-22,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-23,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-24,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-25,43.63,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-28,43.6205,RBI_REFERENCE_RATE,True,BankWise.xls
2000-02-29,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-01,43.6091,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-02,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-03,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-06,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-07,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-08,43.5692,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-09,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-10,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-13,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-14,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-15,43.5901,RBI_REFERENCE_RATE,True,BankWise.xls
2000-03-16,43.5806,RBI_REFERENCE_RATE,True,BankWise.xls
